,0
308,"I know, that this question does not realy fit to that Video, but i've been asking me that question for a Long time.So here it is: Are Valtra, Massey Ferguson, Fendt, Challenger and so on one companys or youst brandnames for machines manufactured by Agco?"
309,"brilho sorriso empatia.. de Engenheiro a apresentador, tbm não é fácil..  edição.. resolução.. assinatura da marca , detalhes de produção que marcas de outros setores já aplicam.. para não apenas propagar a informação, mas sim agregar valor. vamos melhorar."
310,How much for one?
311,the rear tires on the tractor we put those on our monster trucks in the us lol
312,So amazing. Thank you AGCO for stepping out into the community
313,+ AGCO I like the challenger and Massey tractors
314,thanks agco
315,GOOD
316,I know you're in #farming simulator 2017 can't wait do u know any more brands in the game if u do please let me know thanks
317,It's realy great
318,"i was going to say that""she should merry Tuff Cooper"""
319,"Rest in peace, brother!"
320,Wonderful tribute.
321,will be missed. great worker and friend.
322,Agree....I had the pleasure to cross paths with him at many farm shows over the years. He had such enthusiasm for his products and the people he served...and always a smile when you walked up to say hello.
323,Kevin was truly an amazing man. He will forever be in our hearts.
324,I hope this really does well here in North America.
325,"our biggest tractor is a massey 175, second biggest is a kubota something. will always love that massey"
326,good...
327,Realy great
328,Great video
329,Great!
330,good video
331,"Dude, upmix mono to stereo in future videos."
332,Muito bom
333,hey jay funke is from edgewood
334,"Sharp Looking Combines.  Do like how the Engine is Turned to take out the 90 degree bends, smart thinking."
335,Would have been ten times better if they had some Gleaner combines.
336,AGCO is best
337,BIG AGCO 😍
338,اللسلام عليكم ممكن اعرف اجيب الجرلر ده منين فى مصر
339,"Colegas,Agradeço por carinhosa mensagem.Boas Festas!!!Abraços,"
340,Awesome
341,Parabens. É assim que se faz.
342,"Yeah indeed! Reminds me of the old 100 series too. Decent, affordable (...) tractors suitable for many tasks."
343,"And price,i am sure Massey is most expensive,so all those improvements is not so surprising."
344,massey ferguson power only way to go
345,"The AGCO brand Valtra did a pink tractor (but not about breast cancer) earlier, on AGCO blog: http://blog.agcocorp.com/2014/07/pink-cat-inspires-passion-among-young-farmers-in-finland"
346,i wanna change my MF 9690 for this one :)
347,Ok I follow a framer on YouTube and he is looking to change brand of big baler and MF dealer is not interested in getting  a 2270 X D for him to demo.  if this is true then why is the dealer being this way.
348,"Always interesting to see these.  Obviously, the manufacturer's tractor is always going to win- they're trying to sell tractors, not give business to their competition.   Which means focusing on YOUR strong suits.   You're not going to get a strait up apples to apples comparison from someone's marketing department.   It's interesting to note:  Europe based tractor makers and reviewers tend to focus on 3 pt hitches- because you tend to use a lot of integral mounted impliments.   in North America, we tend to use more trailed equipment."
349,whats this song!!!? :)
350,Looks great
351,hahaha this is funny
352,
353,TPM seria  tensão pré menstrual?????
354,Nossaaaaa!!!!!  seu ingles  é  ridiculo  vai estudar mais  por favor
355,Great!
356,Interesting Info.
357,"Smart monitoring technology would be enhance the farm operation progress and follow-up and that well reflect on the activities progress and time saving which would promote the team efforts to catch the problems early and cost effective, further to target/aims achievement."
358,"If you don't walk the ground, you don't get ground truth.  But it would be OK for checking on some things, if it has infrared."
359,Great!
360,Can you get an inline with a kicker?
361,Very impressive.  Hope to get one soon.
362,"how does Serbia look like as a Ag market ?
how does those imports tariffs effect market participation ?

nice video 🍭"
363,"Have these dudes ever run a John Deere, Cat Challenger, or anything else ? If these MF's were perfect , you'd see a lot more of them around."
364,Neat to see Massey/Hesston and Challenger WR Series in action.
365,C'est génial!
366,"Beautifull, realy"
367,I like the design of this little square baler!
368,"my dad is having major problems with high failer rates on his John Deere parts 
there parts dealer does not have quility parts in hand.

I have been asking him to take a look at AGCO

minimizing failer rates would be the first step too the future of farming. "
369,Great video
370,Fine until the damn little wheels catch in a rut and break off.  Old Allis-Chalmers PTO tedderrake never had that problem.  16 inch wheels.
371,good video ... i always watch theses and see missed oportunities i just dont see that the machinery gets shown to its fullest ive got a camera and windows movie maker but i show more of the mahcines doing hard work im not tryna be offensive who ever does it does a brilliant job i just think its never shown being properly used to its potential even the ones where its farmers operating it all seems staged .. but then thats just my view either way tis still good kit lads
372,"Very good explanation and easy to understand all the process about biomass development. 
More information about biomass in Brazil : +55 16 9 9173 5153.
José Renato Donadon 
jose.donadon@agrodon.com.br"
373,Is that a agcodt275b  
374,"This is going to be an Awesome Resource to help HESSTON 2900 Series Baler Owners and Prospects! Keep them coming we need more Videos like this!!! Thank You, Thank You, Thank You!"
375,Good!
376,"I just purchased a 1358 about a month ago, we used it last week, it worked well, i need to fine tune the adjustment so it will cut lower.  Other than that i am well  pleased so far."
377,Great! It's where?
378,"The Prius uses the same principle, except the motors are electric, not hydraulic."
379,"Classe cette petite vidéo, vraiment!"
380,d21 allis all the way!!
381,"This is one of the best marketing/strategic actions that I can remember: By bringing hightech solutions, education and knowledge you can develop this future market, improving brand awareness (top of mind and even passion for the brand) and being first in several market segments. Truly a great case for the future."
382,Muito boa iniciativa!
383,This is the same as new hollands rfv system. Whats going on here?
384,That is beautiful!
385,Nice
386,Until those stinkin litte wheels on the pickup get caught in a rut in your field.
387,"Para mi gusto,es una gran idea,me gusta mas que el sistema bale direct,va mas directo a la empacadora,espero que se siga fabricando."
388,Empresa líder em mecanização agrícola.
389,"as far as transmission a 6465 would be a closer comparison to the john deere and case ih, 4 cylinder engines and 6 speed power shift. the 5400 series are massey fergusons most basic series. "
390,What is the name of the song 
391,Really need the kickback footrests with foot throttle mounted on right side footrest!! MISS THIS!
392,"When i'm with the North Miami Warriors, i run Massey Ferguson my protocols are high schools and tractor colors that match."
393,Incredible!
394,Thanks for posting I enjoyed your video. Cheers.
395,love me a farm show. 
396,Great job. Great explanation about Fuse technologies
397,good talk
398,Realy Nice
399,"Amazing tech progress! We invite you to the workshop on ""Big Data Meets Small Sensors in Precision Agriculture"" on 26 November 2014, hosted by Avantes in Apeldoorn, The Netherlands. http://www.epic-assoc.com/events/?at=108﻿"
400,Ez egy kis segítség a bálázógép működéséhez!
401,The 1839 has been replaced with the 1840. Has more shielding and now has upturn augers.
402,"I had no idea how well and densely packed these rolls were until today when I was given one and tried to ""unroll"" it. I was astonished! I had to look this up as soon as I got home. A marvel."
403,ohhhh   cool
404,AGCO DEVERIA OFERECER TODA SUA LINHA DE PRODUTOS NO BRASIL............
405,"Really good film and good video!Thank you ,you are the best!"
406,Selling these wonders in Brazil
407,proud to Be A MEMBER FROM AGCO TEAM
408,"It is where the ground kiss the technique all day along !Those machines are build for lasting and singing when you work with them!Nice group,team and excellent video!
One of your's!"
